"gene_id"	"expo_RPKM_rep1"	"expo_RPKM_rep2"	"stat_RPKM_rep1"	"stat_RPKM_rep2"
"TK0001"	182.001375292883	158.677654516823	239.226527290067	198.574283673972
"TK0002"	107.285032843083	99.3946196314819	118.666165975219	85.8151697728771
"TK0003"	33.6902231647747	30.9365174589245	42.916818568722	21.6951338204211
"TK0004"	317.676102325248	262.999155173844	234.94014521547	272.047466937
"TK0005"	173.040411057197	257.451186508166	149.809426078871	184.728782094639
"TK0006"	374.878164596506	374.704505667833	329.556577705376	264.89239372394
"TK0007"	105.963860100544	134.686265617321	67.4100051845334	84.7039631093994
"TK0008"	224.220365631724	221.88250381243	65.2108410338066	142.137381998212
"TK0009"	128.860559342604	289.124184628807	45.1305718254427	100.91754121873
"TK0010"	141.926134397939	342.967107229765	55.8770534595899	92.2766894574658
"TK0011"	289.431712060359	426.868500787831	115.639156413206	137.885049183692
"TK0012"	206.833860573454	228.88406047048	168.965446033864	195.375104295118
"TK0013"	63.4547908860057	79.8095005265704	64.5935954681459	59.9856314703064
"TK0014"	202.046039726847	184.997736191479	180.98735398754	131.579151872222
"TK0015"	329.484999715089	170.716913058181	2191.14595466458	1629.77073343814
"TK0016"	25.6424635726972	37.064792439332	24.6962166024155	121.722217155921
"TK0017"	5.67030689501238	13.9933782459554	6.82632963894009	39.2530560750875
"TK0018"	28.2012866056197	81.9968647891364	145.432747952082	254.670780329905
"TK0019"	102.440437679459	94.1102750655673	223.335784123849	237.999909749214
"TK0020"	113.510371482877	96.2044754409434	315.0903257974	239.407184111215
"TK0021"	140.100022174147	122.450876044654	338.527372338352	264.626993324544
"TK0022"	381.20141806114	291.043800159123	484.408487631784	381.799553860983
"TK0023"	133.572171151614	87.5471349016314	183.828980724747	126.779927010045
"TK0024"	123.976450340663	122.128658123645	201.947177707418	221.343557493016
"TK0025"	175.88737284393	176.818502292643	247.268951323564	318.425821021019
"TK0026"	152.856234397037	167.591062396286	214.361647323876	116.316483162779
"TK0027"	130.437047281466	178.290250841427	192.686421696721	178.755091689824
